"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Volatility"
"2019-06-01","0.024080762197505635","0.029864040725133573","0.008984127105654167","0.015947156687623427","0"
"2019-06-02","0.021102065288970122","0.024109161085433768","0.019427280468531486","0.0240130399345626","6.941826412329401"
"2019-06-03","0.021476023153396896","0.023749637945214095","0.01962042879128789","0.021151479640794876","6.045991861733108"
"2019-06-04","0.023478467466491015","0.02585747696041759","0.01992998911564904","0.021168028835067357","5.256229019362994"
"2019-06-05","0.028406291596111945","0.030434047587214134","0.02230547314866206","0.02345548785380641","4.724331434511406"
"2019-06-06","0.02644987753592367","0.030776487910642122","0.024046605716715925","0.0283299110473139","4.610741537159349"
"2019-06-07","0.025963873604243164","0.028281863533317804","0.024698286582942413","0.026485639291324657","4.3756120685340765"
"2019-06-08","0.026221084846850998","0.027023898854973135","0.025141108848349553","0.02593960616268963","4.135023212027907"
"2019-06-09","0.024287055457124115","0.027917154205820145","0.023631218957104294","0.026228644125980544","4.02371443503116"
"2019-06-10","0.02571876009833182","0.02598727488934911","0.023708380861858697","0.024265034771725293","3.8180466413069927"
"2019-06-11","0.022575963326058886","0.025868097887083816","0.02221585197083161","0.02574465824275274","3.7956613532709116"
"2019-06-12","0.022376900912856348","0.023329272210298624","0.02143764456298193","0.022619448070275643","3.650506986519718"
"2019-06-13","0.02237253504728641","0.025059381586752284","0.021587393756015143","0.02237324209603795","3.516116379271176"
"2019-06-14","0.020547893440145546","0.02313222109905094","0.019633941035918034","0.022410513913450582","3.447303805830914"
"2019-06-15","0.02168882905607614","0.022391408207998724","0.020523442783834108","0.02059929779496479","3.3313909900598335"
"2019-06-16","0.0216446080344612","0.02182144091412998","0.020581854312525447","0.021760914109360083","3.2312543960724396"
"2019-06-17","0.020472760264800494","0.022675844139284793","0.020284915762874643","0.021685974140819506","3.159727056348694"
"2019-06-18","0.022985929971946664","0.024111971454593362","0.020332046507851368","0.020551236913955766","3.095452119508003"
"2019-06-19","0.023128589991346076","0.024823365039736284","0.022640441068248886","0.023028358988608014","3.015521331410184"
"2019-06-20","0.022333407660892503","0.02415426023102057","0.021292477670286813","0.023131384161100936","2.952788952169669"
"2019-06-21","0.020540153793263002","0.023125877689944552","0.02023007119365403","0.022291282805501893","2.9148800541818374"
"2019-06-22","0.02128615025089072","0.022438725780379483","0.020256426498815972","0.020516691620368864","2.8483854784088853"
"2019-06-23","0.021067427928377118","0.02228101376612967","0.02033012998805251","0.021300929488573504","2.7895922135351676"
"2019-06-24","0.02063825172073304","0.02188805552177901","0.020356201146971804","0.020932662715228523","2.731103760790076"
